CODE,DISPLAY,VERSION
8130/2,"Papillary urothelial carcinoma, non-invasive",ICDO3_2nd
8130/2,"Papillary transitional cell carcinoma, non-invasive",ICDO3_2nd
8130/3,"Papillary urothelial carcinoma",ICDO3_2nd
8130/3,"Papillary transitional cell carcinoma",ICDO3_2nd
8131/3,"Urothelial carcinoma, micropapillary",ICDO3_2nd
8131/3,"Transitional cell carcinoma, micropapillary",ICDO3_2nd
8140/0,"Adenoma, NOS",ICDO3_2nd
8140/1,"Atypical adenoma",ICDO3_2nd
8140/1,"Bronchial adenoma, NOS",ICDO3_2nd
8140/2,"Adenocarcinoma in situ, NOS",ICDO3_2nd
8140/3,"Adenocarcinoma, NOS",ICDO3_2nd
8140/3,"Adenocarcinoma, usual type",ICDO3_2nd
8140/3,"Carcinoma of Skene, Cowper and Littre glands",ICDO3_2nd
8140/3,"Endolymphatic sac tumor",ICDO3_2nd
8140/3,"Parathyroid carcinoma",ICDO3_2nd
8140/3,"Acinar adenocarcinoma of prostate",ICDO3_2nd
8140/6,"Adenocarcinoma, metastatic, NOS",ICDO3_2nd
8141/3,"Scirrhous adenocarcinoma",ICDO3_2nd
8141/3,"Carcinoma with productive fibrosis",ICDO3_2nd
8141/3,"Scirrhous carcinoma",ICDO3_2nd
8142/3,"Linitis plastica",ICDO3_2nd
8143/3,"Superficial spreading adenocarcinoma",ICDO3_2nd
8144/0,"Adenoma, intestinal type",ICDO3_2nd
8144/3,"Adenocarcinoma, intestinal type",ICDO3_2nd
8144/3,"Adenocarcinoma, enteric",ICDO3_2nd
8144/3,"Carcinoma, intestinal type",ICDO3_2nd
8144/3,"Mucinous carcinoma, intestinal type",ICDO3_2nd
8145/3,"Carcinoma, diffuse type",ICDO3_2nd
8145/3,"Adenocarcinoma, diffuse type",ICDO3_2nd
8146/0,"Monomorphic adenoma",ICDO3_2nd
8147/0,"Basal cell adenoma",ICDO3_2nd
8147/3,"Basal cell adenocarcinoma",ICDO3_2nd
8147/3,"Basal cell carcinoma of prostate",ICDO3_2nd
8148/0,"Glandular intraepithelial neoplasia, low grade",ICDO3_2nd
8148/0,"Glandular intraepithelial neoplasia, grade I",ICDO3_2nd
8148/0,"Glandular intraepithelial neoplasia, grade II",ICDO3_2nd
8148/0,"Biliary intraepithelial neoplasia, low grade",ICDO3_2nd
8148/0,"Esophageal glandular dysplasia (intraepithelial neoplasia), low grade",ICDO3_2nd
8148/2,"Glandular intraepithelial neoplasia, high grade",ICDO3_2nd
8148/2,"Glandular intraepithelial neoplasia, grade III",ICDO3_2nd
8148/2,"Flat intraepithelial neoplasia, high grade",ICDO3_2nd
8148/2,"Biliary intraepithelial neoplasia, high grade",ICDO3_2nd
8148/2,"Biliary intraepithelial neoplasia, grade 3 (BilIN-3)",ICDO3_2nd
8148/2,"Esophageal glandular dysplasia (intraepithelial neoplasia), high grade",ICDO3_2nd
8148/2,"Esophageal intraepithelial neoplasia, high grade",ICDO3_2nd
8148/2,"Prostatic intraepithelial neoplasia, grade III",ICDO3_2nd
8148/2,"PIN III",ICDO3_2nd
8148/2,"Prostatic intraepithelial neoplasia, high grade",ICDO3_2nd
8149/0,"Canalicular adenoma",ICDO3_2nd
8150/0,"Pancreatic neuroendocrine microadenoma",ICDO3_2nd
8150/0,"Pancreatic endocrine tumor, benign",ICDO3_2nd
8150/0,"Islet cell tumor, benign",ICDO3_2nd
8150/0,"Pancreatic microadenoma",ICDO3_2nd
8150/3,"Pancreatic neuroendocrine tumor, nonfunctioning",ICDO3_2nd
8150/3,"Pancreatic endocrine tumor, nonfunctioning",ICDO3_2nd
8150/3,"Pancreatic endocrine tumor, NOS",ICDO3_2nd
8150/3,"Islet cell adenoma",ICDO3_2nd
8150/3,"Islet cell adenomatosis",ICDO3_2nd
8150/3,Nesidioblastoma,ICDO3_2nd
8150/3,"Islet cell tumor, NOS",ICDO3_2nd
8150/3,"Islet cell adenocarcinoma",ICDO3_2nd
8150/3,"Islet cell carcinoma",ICDO3_2nd
8151/3,"Insulinoma, NOS",ICDO3_2nd
8151/3,"Beta cell adenoma",ICDO3_2nd
8151/3,"Beta cell tumor",ICDO3_2nd
8152/3,Glucagonoma,ICDO3_2nd
8152/3,"Alpha cell tumor",ICDO3_2nd
8152/3,Enteroglucagonoma,ICDO3_2nd
8152/3,"Glucagon-like peptide-producing tumor",ICDO3_2nd
8152/3,"L-cell tumor",ICDO3_2nd
8152/3,"Pancreatic peptide and pancreatic peptide-like peptide within terminal tyrosine amide producing tumor",ICDO3_2nd
8152/3,"PP/PYY producing tumor",ICDO3_2nd
8153/3,Gastrinoma,ICDO3_2nd
8153/3,"G cell tumor",ICDO3_2nd
8153/3,"Gastrin cell tumor",ICDO3_2nd
8154/3,"Mixed neuroendocrine non-neuroendocrine neoplasm (MiNEN)",ICDO3_2nd
8154/3,"Mixed pancreatic endocrine and exocrine tumor, malignant",ICDO3_2nd
8154/3,"Mixed islet cell and exocrine adenocarcinoma",ICDO3_2nd
8154/3,"Mixed acinar-endocrine carcinoma",ICDO3_2nd
8154/3,"Mixed acinar-neuroendocrine carcinoma",ICDO3_2nd
8154/3,"Mixed acinar-endocrine-ductal carcinoma",ICDO3_2nd
8154/3,"Mixed ductal-endocrine carcinoma",ICDO3_2nd
8154/3,"Mixed ductal-neuroendocrine carcinoma",ICDO3_2nd
8154/3,"Mixed endocrine and exocrine adenocarcinoma",ICDO3_2nd
8155/3,Vipoma,ICDO3_2nd
8156/3,Somatostatinoma,ICDO3_2nd
8156/3,"Somatostatin cell tumor",ICDO3_2nd
8158/3,"ACTH-producing tumor",ICDO3_2nd
8158/3,"Endocrine tumor, functioning, NOS",ICDO3_2nd
8160/0,"Bile duct adenoma",ICDO3_2nd
8160/0,Cholangioma,ICDO3_2nd
8160/3,Cholangiocarcinoma,ICDO3_2nd
8160/3,"Bile duct adenocarcinoma",ICDO3_2nd
8160/3,"Bile duct carcinoma",ICDO3_2nd
8161/0,"Bile duct cystadenoma",ICDO3_2nd
8161/3,"Bile duct cystadenocarcinoma",ICDO3_2nd
8162/3,"Perihilar cholangiocarcinoma",ICDO3_2nd
8162/3,"Klatskin tumor",ICDO3_2nd
8163/0,"Pancreatobiliary neoplasm, non-invasive",ICDO3_2nd
8163/0,"Non-invasive pancreatobiliary papillary neoplasm with low grade dysplasia",ICDO3_2nd
8163/0,"Non-invasive pancreatobiliary papillary neoplasm with low grade intraepithelial neoplasia",ICDO3_2nd
8163/2,"Papillary neoplasm, pancreatobiliary type, with high grade intraepithelial neoplasia",ICDO3_2nd
8163/2,"Non-invasive pancreatobiliary papillary neoplasm with high grade dysplasia",ICDO3_2nd
8163/2,"Non-invasive pancreatobiliary papillary neoplasm with high grade intraepithelial neoplasia",ICDO3_2nd
8163/3,"Pancreatobiliary type carcinoma",ICDO3_2nd
8163/3,"Adenocarcinoma, pancreatobiliary type",ICDO3_2nd
8170/0,"Liver cell adenoma",ICDO3_2nd
8170/0,"Hepatocellular adenoma",ICDO3_2nd
8170/0,"Hepatoma, benign",ICDO3_2nd
8170/3,"Hepatocellular carcinoma, NOS",ICDO3_2nd
8170/3,"Hepatoma, NOS",ICDO3_2nd
8170/3,Hepatocarcinoma,ICDO3_2nd
8170/3,"Hepatoma, malignant",ICDO3_2nd
