LEVEL,CODE,DISPLAY,VERSION
,I42.5,Other restrictive cardiomyopathy,ICD_MM
,I42.6,Alcoholic cardiomyopathy,ICD_MM
,I42.7,Cardiomyopathy due to drugs and other external agents,ICD_MM
,I42.8,Other cardiomyopathies,ICD_MM
,I42.9,"Cardiomyopathy, unspecified",ICD_MM
,I61,Intracerebral haemorrhage,ICD_MM
,I61.0,"Intracerebral haemorrhage in hemisphere, subcortical",ICD_MM
,I61.1,"Intracerebral haemorrhage in hemisphere, cortical",ICD_MM
,I61.2,"Intracerebral haemorrhage in hemisphere, unspecified",ICD_MM
,I61.3,Intracerebral haemorrhage in brain stem,ICD_MM
,I61.4,Intracerebral haemorrhage in cerebellum,ICD_MM
,I61.5,"Intracerebral haemorrhage, intraventricular",ICD_MM
,I61.6,"Intracerebral haemorrhage, multiple localized",ICD_MM
,I61.8,Other intracerebral haemorrhage,ICD_MM
,I61.9,"Intracerebral haemorrhage, unspecified",ICD_MM
,I64,"Stroke, not specified as haemorrhage or infarction",ICD_MM
,I51,Complications and ill-defined descriptions of heart disease,ICD_MM
,I51.0,"Cardiac septal defect, acquired",ICD_MM
,I51.1,"Rupture of chordae tendineae, not elsewhere classified",ICD_MM
,I51.2,"Rupture of papillary muscle, not elsewhere classified",ICD_MM
,I51.3,"Intracardiac thrombosis, not elsewhere classified",ICD_MM
,I51.4,"Myocarditis, unspecified",ICD_MM
,I51.5,Myocardial degeneration,ICD_MM
,I51.6,"Cardiovascular disease, unspecified",ICD_MM
,I51.7,Cardiomegaly,ICD_MM
,I51.8,Other ill-defined heart diseases,ICD_MM
,I51.9,"Heart disease, unspecified",ICD_MM
Diseases of the respiratory system,,,ICD_MM
,J45,Asthma,ICD_MM
,J45.0,Predominantly allergic asthma,ICD_MM
,J45.1,Nonallergic asthma,ICD_MM
,J45.8,Mixed asthma,ICD_MM
,J45.9,"Asthma, unspecified",ICD_MM
Diseases of the digestive system,,,ICD_MM
,K35,Acute appendicitis,ICD_MM
,K35.0,Acute appendicitis with generalized peritonitis,ICD_MM
,K35.1,Acute appendicitis with peritoneal abscess,ICD_MM
,K35.2,Acute appendicitis with generalized peritonitis,ICD_MM
,K35.3,Acute appendicitis with localized peritonitis,ICD_MM
,K35.8,"Acute appendicitis, other and unspecified",ICD_MM
,K35.9,"Acute appendicitis, unspecified",ICD_MM
,K85,Acute pancreatitis,ICD_MM
,K85.0,Idiopathic acute pancreatitis,ICD_MM
,K85.1,Biliary acute pancreatitis,ICD_MM
,K85.2,Alcohol-induced acute pancreatitis,ICD_MM
,K85.3,Drug-induced acute pancreatitis,ICD_MM
,K85.8,Other acute pancreatitis,ICD_MM
,K85.9,"Acute pancreatitis, unspecified",ICD_MM
Diseases of the musculoskeletal system and connective tissue,,,ICD_MM
,M32,Systemic lupus erythematosus,ICD_MM
,M32.0,Drug-induced systemic lupus erythematosus,ICD_MM
,M32.1,Systemic lupus erythematosus with organ or system involvement,ICD_MM
,M32.8,Other forms of systemic lupus erythematosus,ICD_MM
,M32.9,"Systemic lupus erythematosus, unspecified",ICD_MM
,M40,Kyphosis and lordosis,ICD_MM
,M40.0,Postural kyphosis,ICD_MM
,M40.00,"Postural kyphosis, multiple sites in spine",ICD_MM
,M40.01,"Postural kyphosis, occipito-atlanto-axial region",ICD_MM
,M40.02,"Postural kyphosis, cervical region",ICD_MM
,M40.03,"Postural kyphosis, cervicothoracic region",ICD_MM
,M40.04,"Postural kyphosis, thoracic region",ICD_MM
,M40.05,"Postural kyphosis, thoracolumbar region",ICD_MM
,M40.06,"Postural kyphosis, lumbar region",ICD_MM
,M40.07,"Postural kyphosis, lumbosacral region",ICD_MM
,M40.08,"Postural kyphosis, sacral and sacrococcygeal region",ICD_MM
,M40.09,"Postural kyphosis, site unspecified",ICD_MM
,M40.1,Other secondary kyphosis,ICD_MM
